Koordinatensystem : Lambert konform konisch
Rechtswert        : 3823500 Meter
Hochwert          : 2818500 Meter
Hoehenlage        : 73 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
3823500 2818500  1  3  1   0.2 1027  81  1.4 7  3.4  90    0    0 265 -291  2
3823500 2818500  1  3  2  -0.5 1027  90  1.6 5  3.2  87    0    0 248 -292  2
3823500 2818500  1  3  3  -1.4 1027  90  0.1 3  3.1  88    0    0 228 -292  2
3823500 2818500  1  3  4  -2.2 1027 100  0.8 2  2.9  88    0    0 215 -292  2
3823500 2818500  1  3  5  -2.6 1028  93  1.4 1  2.7  87    0    0 208 -290  2
3823500 2818500  1  3  6  -2.9 1028  95  1.9 0  2.6  86    0    0 204 -288  2
3823500 2818500  1  3  7  -3.4 1027 104  2.2 1  2.5  85    0    0 203 -286  2
3823500 2818500  1  3  8  -3.9 1027 120  2.1 1  2.4  83    0    0 202 -285  2
3823500 2818500  1  3  9  -4.0 1027 114  2.3 1  2.2  80    0    0 200 -284  2
3823500 2818500  1  3 10  -3.2 1027 115  2.5 1  2.2  77   34   27 200 -283  2
3823500 2818500  1  3 11  -2.9 1027 119  2.4 2  2.2  73  108   34 201 -283  2
3823500 2818500  1  3 12  -2.4 1028 111  2.3 1  2.2  71  147   40 200 -285  2
3823500 2818500  1  3 13  -2.0 1028 100  2.0 2  2.2  68  162   41 200 -288  2
3823500 2818500  1  3 14  -1.3 1028 106  2.4 2  2.1  65  150   35 202 -290  2
3823500 2818500  1  3 15  -1.4 1028  95  2.2 3  2.1  62   89   39 204 -291  2
3823500 2818500  1  3 16  -1.9 1028 107  2.1 3  2.1  63   46   23 205 -289  2
3823500 2818500  1  3 17  -2.7 1028 101  1.8 3  2.0  65    0    0 204 -286  2
3823500 2818500  1  3 18  -3.2 1027 104  2.0 2  2.0  66    0    0 201 -283  2
3823500 2818500  1  3 19  -3.5 1027 111  2.0 0  1.9  65    0    0 196 -282  2
3823500 2818500  1  3 20  -3.9 1027 114  2.3 0  1.8  65    0    0 192 -280  2
3823500 2818500  1  3 21  -4.2 1027  96  1.6 0  1.8  64    0    0 191 -279  2
3823500 2818500  1  3 22  -4.6 1027 101  1.7 0  1.7  65    0    0 190 -278  2
3823500 2818500  1  3 23  -4.8 1027 106  1.2 1  1.7  66    0    0 192 -278  2
3823500 2818500  1  3 24  -5.4 1027 105  0.9 1  1.7  66    0    0 193 -277  2
3823500 2818500  1  4  1  -5.1 1026  90  1.3 2  1.7  66    0    0 195 -276  2
3823500 2818500  1  4  2  -5.7 1026  97  1.4 2  1.7  66    0    0 197 -276  2
3823500 2818500  1  4  3  -5.7 1026 102  0.9 1  1.6  66    0    0 194 -275  2
3823500 2818500  1  4  4  -5.9 1026  96  0.9 0  1.6  66    0    0 191 -275  2
3823500 2818500  1  4  5  -6.5 1025  90  0.8 0  1.6  67    0    0 188 -275  2
3823500 2818500  1  4  6  -7.0 1025 109  0.7 0  1.6  69    0    0 186 -275  2
3823500 2818500  1  4  7  -7.8 1025  88  1.1 0  1.5  71    0    0 185 -275  2
3823500 2818500  1  4  8  -7.9 1025  75  0.3 0  1.5  72    0    0 184 -275  2
3823500 2818500  1  4  9  -7.6 1026  90  0.7 0  1.5  71    0    0 184 -275  2
3823500 2818500  1  4 10  -5.6 1026 111  0.6 0  1.6  70   37   19 186 -275  2
3823500 2818500  1  4 11  -3.8 1026 110  0.9 1  1.6  63  114   23 193 -278  2
3823500 2818500  1  4 12  -1.9 1027 108  0.9 1  1.6  53  146   30 198 -281  2
3823500 2818500  1  4 13  -0.7 1027 114  0.9 1  1.7  50  152   31 202 -285  2
3823500 2818500  1  4 14  -0.4 1027 124  1.3 1  1.7  47  140   28 202 -288  2
3823500 2818500  1  4 15  -0.2 1026 127  1.3 1  1.6  45  108   22 204 -289  2
3823500 2818500  1  4 16  -1.0 1026 119  1.0 1  1.6  45   51   11 204 -287  2
3823500 2818500  1  4 17  -2.4 1026 100  1.2 1  1.6  48    0    4 202 -284  2
3823500 2818500  1  4 18  -3.4 1027 107  1.4 0  1.6  53    0    0 197 -282  2
3823500 2818500  1  4 19  -4.0 1026 133  1.0 0  1.6  57    0    0 193 -281  2
3823500 2818500  1  4 20  -4.5 1026 121  0.8 0  1.6  60    0    0 193 -281  2
3823500 2818500  1  4 21  -4.9 1026 123  1.1 0  1.6  62    0    0 191 -281  2
3823500 2818500  1  4 22  -5.5 1026 131  1.4 0  1.6  64    0    0 189 -280  2
3823500 2818500  1  4 23  -5.7 1026 136  0.7 0  1.6  67    0    0 188 -280  2
3823500 2818500  1  4 24  -6.6 1027  99  0.9 0  1.6  69    0    0 185 -280  2
3823500 2818500  1  5  1  -7.2 1027 219  0.7 0  1.6  72    0    0 182 -279  2
3823500 2818500  1  5  2  -7.5 1027 186  0.4 0  1.6  75    0    0 181 -279  2
3823500 2818500  1  5  3  -7.1 1027 165  0.6 1  1.6  75    0    0 186 -279  2
3823500 2818500  1  5  4  -6.9 1027 186  0.8 1  1.7  75    0    0 189 -279  2
3823500 2818500  1  5  5  -6.7 1027 169  1.2 1  1.7  74    0    0 190 -280  2
3823500 2818500  1  5  6  -6.9 1027 178  1.0 0  1.6  73    0    0 187 -280  2
3823500 2818500  1  5  7  -6.9 1027 190  1.0 0  1.6  74    0    0 184 -280  2
3823500 2818500  1  5  8  -7.2 1027 192  0.8 0  1.6  75    0    0 184 -280  2
3823500 2818500  1  5  9  -8.0 1027 191  0.8 0  1.6  77    0    0 184 -280  2
3823500 2818500  1  5 10  -5.3 1028 196  1.2 1  1.7  74   27   29 189 -281  2
3823500 2818500  1  5 11  -3.4 1028 190  1.2 1  1.8  67  104   33 196 -284  2
3823500 2818500  1  5 12  -1.5 1029 199  1.1 1  1.9  61  116   56 201 -288  2
3823500 2818500  1  5 13   0.1 1029 209  0.8 2  1.9  55  116   67 208 -292  2
3823500 2818500  1  5 14   1.0 1028 211  1.3 2  2.0  51  129   46 214 -296  2
3823500 2818500  1  5 15   1.1 1028 201  1.2 2  2.1  52  117   24 217 -296  2
3823500 2818500  1  5 16   0.4 1028 193  0.8 1  2.1  54   52   19 214 -295  2
3823500 2818500  1  5 17  -1.7 1028 209  0.6 2  2.1  59    0    5 212 -293  2
3823500 2818500  1  5 18  -1.8 1028 188  0.9 2  2.2  66    0    0 212 -290  2
3823500 2818500  1  5 19  -2.1 1028 184  1.4 4  2.2  69    0    0 220 -289  2
3823500 2818500  1  5 20  -1.3 1028 194  1.5 5  2.3  69    0    0 235 -289  2
3823500 2818500  1  5 21  -1.4 1028 200  1.0 7  2.3  70    0    0 251 -290  2
3823500 2818500  1  5 22  -1.3 1028 195  1.1 6  2.4  71    0    0 258 -290  2
3823500 2818500  1  5 23  -1.1 1028 194  1.1 6  2.5  72    0    0 257 -291  2
3823500 2818500  1  5 24  -1.1 1028 201  0.7 7  2.5  73    0    0 266 -292  2
3823500 2818500  1  6  1  -0.7 1028 205  1.3 6  2.6  74    0    0 269 -293  2
3823500 2818500  1  6  2  -0.5 1028 203  1.5 6  2.6  74    0    0 265 -294  2
3823500 2818500  1  6  3  -0.4 1028 197  1.2 8  2.7  74    0    0 280 -296  2
3823500 2818500  1  6  4  -0.6 1027 195  1.4 8  2.7  75    0    0 293 -298  2
3823500 2818500  1  6  5  -1.0 1027 192  1.6 7  2.7  76    0    0 287 -302  2
3823500 2818500  1  6  6  -1.0 1027 204  1.1 7  2.7  78    0    0 282 -306  2
3823500 2818500  1  6  7  -0.8 1026 206  1.3 7  2.8  80    0    0 283 -308  2
3823500 2818500  1  6  8  -0.4 1026 214  1.6 7  2.9  81    0    0 284 -311  2
3823500 2818500  1  6  9  -0.4 1026 211  1.4 8  3.1  84    0    0 291 -312  2
3823500 2818500  1  6 10  -0.3 1026 200  1.8 8  3.2  89    2   35 297 -314  2
3823500 2818500  1  6 11   0.0 1026 232  1.4 6  3.5  93   10   76 292 -315  2
3823500 2818500  1  6 12   0.1 1026 232  0.7 7  3.6  96    0   36 289 -317  2
3823500 2818500  1  6 13   0.3 1025 250  1.1 6  3.8  99    0   31 290 -318  2
3823500 2818500  1  6 14   0.6 1025 268  1.3 7  3.9 100    0   48 292 -319  2
3823500 2818500  1  6 15   0.7 1025 237  1.9 7  3.9  99    2   62 298 -319  2
3823500 2818500  1  6 16   0.8 1025 240  0.9 7  3.9  99    0   25 299 -320  2
3823500 2818500  1  6 17   0.9 1025 245  0.5 8  4.0  99    0    0 305 -320  2
3823500 2818500  1  6 18   0.9 1025 241  0.7 8  4.0  99    0    0 310 -320  2
3823500 2818500  1  6 19   1.1 1025 246  0.4 8  4.0  99    0    0 312 -320  2
3823500 2818500  1  6 20   1.1 1025 248  1.1 7  4.0 100    0    0 309 -320  2
3823500 2818500  1  6 21   1.1 1025 260  0.9 8  4.1 100    0    0 311 -320  2
3823500 2818500  1  6 22   1.3 1025 261  0.4 8  4.1  99    0    0 319 -320  2
3823500 2818500  1  6 23   1.1 1025 253  0.7 8  4.1  99    0    0 320 -320  2
3823500 2818500  1  6 24   1.4 1025 262  1.0 8  4.1 100    0    0 319 -320  2
3823500 2818500  1  7  1   1.6 1025 284  1.0 8  4.1  99    0    0 319 -320  2
3823500 2818500  1  7  2   1.8 1025 283  1.5 8  4.2  99    0    0 318 -320  2
3823500 2818500  1  7  3   1.9 1025 294  0.7 8  4.2  99    0    0 318 -320  2
3823500 2818500  1  7  4   1.9 1025 298  0.5 5  4.3 100    0    0 295 -320  2
3823500 2818500  1  7  5   1.9 1025 277  1.5 7  4.3 100    0    0 289 -320  2
3823500 2818500  1  7  6   2.0 1025 301  0.3 8  4.3  99    0    0 308 -320  2
3823500 2818500  1  7  7   1.9 1025 297  0.5 6  4.3  99    0    0 301 -320  2
3823500 2818500  1  7  8   1.6 1025 339  0.1 6  4.2 100    0    0 290 -320  2
3823500 2818500  1  7  9   1.6 1025 278  0.5 7  4.2 100    0    0 294 -320  2
3823500 2818500  1  7 10   1.8 1025 241  0.5 8  4.2  99    0   27 305 -320  2
3823500 2818500  1  7 11   2.4 1025 300  0.7 6  4.3  99    0   52 302 -320  2
3823500 2818500  1  7 12   2.7 1026 318  0.3 7  4.5  99    0   56 298 -321  2
3823500 2818500  1  7 13   3.0 1025 307  0.3 7  4.6  99    0   54 305 -323  2
3823500 2818500  1  7 14   3.1 1025 355  0.1 8  4.6  98    0   37 309 -324  2
3823500 2818500  1  7 15   2.7 1025 332  0.1 7  4.5  98    1   52 309 -323  2
3823500 2818500  1  7 16   2.6 1025 318  0.4 7  4.4  98    0   13 303 -323  2
3823500 2818500  1  7 17   2.2 1025 355  0.8 8  4.3  98    0    0 307 -321  2
3823500 2818500  1  7 18   2.0 1026 326  0.6 8  4.3  98    0    0 312 -321  2
3823500 2818500  1  7 19   1.9 1026 275  0.8 8  4.2  98    0    0 311 -321  2
3823500 2818500  1  7 20   1.6 1025 338  0.6 7  4.2  98    0    0 305 -321  2
3823500 2818500  1  7 21   1.5 1025  37  1.1 6  4.1  99    0    0 292 -321  2
3823500 2818500  1  7 22   1.4 1025  68  0.7 7  4.1  99    0    0 294 -321  2
3823500 2818500  1  7 23   1.8 1025  71  1.5 8  4.2  99    0    0 306 -320  2
3823500 2818500  1  7 24   1.8 1025  49  1.2 7  4.2  98    0    0 307 -320  2
3823500 2818500  1  8  1   1.8 1025  58  0.6 8  4.2  98    0    0 306 -320  2
3823500 2818500  1  8  2   1.8 1025  68  0.2 8  4.2  98    0    0 310 -320  2
3823500 2818500  1  8  3   1.8 1025  58  0.6 8  4.2  98    0    0 309 -320  2
3823500 2818500  1  8  4   1.8 1025  63  0.6 7  4.2  98    0    0 303 -320  2
3823500 2818500  1  8  5   1.9 1025  82  0.6 7  4.2  98    0    0 297 -320  2
3823500 2818500  1  8  6   1.8 1025  76  0.5 8  4.2  97    0    0 302 -320  2
3823500 2818500  1  8  7   1.7 1025  62  0.6 8  4.1  97    0    0 307 -320  2
3823500 2818500  1  8  8   1.8 1025  76  0.7 8  4.1  96    0    0 306 -320  2
3823500 2818500  1  8  9   1.6 1025  73  0.6 8  4.0  95    0    0 306 -319  2
3823500 2818500  1  8 10   1.7 1025  78  0.6 8  4.0  96    0   20 306 -319  2
3823500 2818500  1  8 11   2.0 1026 101  0.3 8  4.1  95    0   27 305 -318  2
3823500 2818500  1  8 12   2.1 1026 107  0.4 8  4.0  92    0   26 305 -319  2
3823500 2818500  1  8 13   2.3 1026 119  0.4 8  4.0  90    0   48 305 -319  2
3823500 2818500  1  8 14   2.4 1026 118  0.6 7  3.9  88    2   87 300 -319  2
3823500 2818500  1  8 15   2.4 1025 110  0.5 7  3.9  87    3   70 295 -319  2
3823500 2818500  1  8 16   2.3 1025  83  0.1 6  3.8  86    8   39 290 -319  2
3823500 2818500  1  8 17   1.6 1026  99  0.1 6  3.7  87    0    7 283 -319  2
3823500 2818500  1  8 18   0.1 1026  70  0.1 5  3.5  88    0    0 273 -319  2
3823500 2818500  1  8 19  -1.0 1026  77  0.0 4  3.2  88    0    0 258 -317  2
3823500 2818500  1  8 20  -0.9 1026   7  0.0 3  3.0  87    0    0 245 -315  2
3823500 2818500  1  8 21  -0.7 1027 356  0.0 3  3.1  89    0    0 240 -314  2
3823500 2818500  1  8 22  -0.6 1027  62  0.1 5  3.4  94    0    0 251 -313  2
3823500 2818500  1  8 23  -0.7 1027  33  0.1 5  3.5  97    0    0 261 -311  2
3823500 2818500  1  8 24  -0.3 1027 116  0.1 4  3.5  96    0    0 257 -308  2
3823500 2818500  1  9  1  -0.7 1027 108  0.1 3  3.4  94    0    0 246 -305  2
3823500 2818500  1  9  2  -0.9 1027  96  0.1 4  3.3  93    0    0 245 -304  2
3823500 2818500  1  9  3  -1.6 1027 133  0.0 3  3.2  93    0    0 244 -302  2
3823500 2818500  1  9  4  -2.6 1027 162  0.0 3  3.1  95    0    0 237 -301  2
3823500 2818500  1  9  5  -1.9 1028 154  0.1 2  3.1  97    0    0 232 -300  2
3823500 2818500  1  9  6  -2.0 1028 172  0.1 3  3.1  96    0    0 233 -299  2
3823500 2818500  1  9  7  -2.1 1028 184  0.1 5  3.1  96    0    0 245 -299  2
3823500 2818500  1  9  8  -1.7 1028 170  0.4 5  3.1  95    0    0 253 -299  2
3823500 2818500  1  9  9  -1.9 1028 183  0.3 5  3.1  94    0    0 252 -299  2
3823500 2818500  1  9 10  -1.3 1028 175  0.3 2  3.1  93   15   39 240 -300  2
3823500 2818500  1  9 11   0.0 1029 160  0.6 1  3.3  92   78   71 226 -304  2
3823500 2818500  1  9 12   1.2 1029 171  0.4 0  3.6  91  143   77 222 -309  2
3823500 2818500  1  9 13   2.6 1029 178  0.5 0  3.7  88  180   73 222 -314  2
3823500 2818500  1  9 14   3.3 1029 180  0.3 0  3.7  81  170   68 225 -318  2
3823500 2818500  1  9 15   3.1 1028 171  0.7 0  3.7  78  117   58 227 -319  2
3823500 2818500  1  9 16   2.6 1028 156  0.5 0  3.6  78   44   39 227 -318  2
3823500 2818500  1  9 17   0.4 1028 152  0.7 0  3.3  78    1    7 222 -315  2
3823500 2818500  1  9 18  -0.6 1028 151  0.5 0  3.0  81    0    0 217 -311  2
3823500 2818500  1  9 19  -1.6 1028 117  0.5 1  2.9  85    0    0 216 -309  2
3823500 2818500  1  9 20  -2.3 1028  93  0.1 1  2.8  88    0    0 216 -307  2
3823500 2818500  1  9 21  -2.1 1029  84  0.1 0  2.9  90    0    0 214 -307  2
3823500 2818500  1  9 22  -2.3 1029  98  0.0 0  2.9  90    0    0 212 -306  2
3823500 2818500  1  9 23  -2.6 1029 177  0.0 0  2.8  89    0    0 211 -305  2
3823500 2818500  1  9 24  -1.7 1028 167  0.1 0  2.8  89    0    0 212 -305  2
3823500 2818500  1 10  1  -2.0 1028 137  0.1 0  2.9  90    0    0 213 -305  2
3823500 2818500  1 10  2  -2.4 1028  91  0.1 0  2.8  89    0    0 212 -304  2
3823500 2818500  1 10  3  -3.1 1028 128  0.1 0  2.8  91    0    0 211 -303  2
3823500 2818500  1 10  4  -3.2 1027  87  0.1 0  2.7  92    0    0 210 -303  2
3823500 2818500  1 10  5  -2.9 1027 134  0.2 2  2.8  92    0    0 215 -304  2
3823500 2818500  1 10  6  -3.0 1028 168  0.7 0  2.8  92    0    0 216 -305  2
3823500 2818500  1 10  7  -3.7 1026 155  0.2 0  2.6  91    0    0 211 -306  2
3823500 2818500  1 10  8  -4.6 1026  75  0.1 1  2.5  92    0    0 212 -307  2
3823500 2818500  1 10  9  -4.1 1026  93  0.2 2  2.6  94    0    0 220 -307  2
3823500 2818500  1 10 10  -2.8 1026 121  0.3 3  2.8  95    1   40 230 -307  2
3823500 2818500  1 10 11  -2.1 1027 116  0.2 6  2.9  93   12   97 244 -310  2
3823500 2818500  1 10 12  -0.8 1027 150  0.1 6  3.0  89   15  132 256 -314  2
3823500 2818500  1 10 13   0.1 1027 130  0.2 6  3.2  87   28  156 261 -318  2
3823500 2818500  1 10 14   1.3 1026 121  0.2 5  3.4  86   46  153 263 -319  2
3823500 2818500  1 10 15   1.1 1025  82  0.1 5  3.4  84   35  117 265 -320  2
3823500 2818500  1 10 16   0.7 1025 113  0.1 6  3.3  84   11   55 268 -320  2
3823500 2818500  1 10 17  -0.2 1025 105  0.1 7  3.2  84    0    6 273 -320  2
3823500 2818500  1 10 18  -1.2 1025  87  0.1 7  3.1  86    0    0 274 -319  2
3823500 2818500  1 10 19  -1.5 1024  99  0.1 5  3.0  88    0    0 267 -319  2
3823500 2818500  1 10 20  -1.5 1024 108  0.1 4  3.0  89    0    0 258 -319  2
3823500 2818500  1 10 21  -1.4 1024 112  0.5 4  2.9  87    0    0 254 -319  2
3823500 2818500  1 10 22  -1.9 1024 134  0.2 2  2.9  86    0    0 248 -320  2
3823500 2818500  1 10 23  -2.4 1024 142  0.2 1  2.8  88    0    0 237 -320  2
3823500 2818500  1 10 24  -2.8 1023 139  0.5 3  2.7  88    0    0 241 -320  2
3823500 2818500  1 11  1  -3.0 1023 145  0.2 2  2.7  89    0    0 244 -320  2
3823500 2818500  1 11  2  -2.7 1023 182  0.4 0  2.7  90    0    0 234 -320  2
3823500 2818500  1 11  3  -2.3 1022 186  0.5 0  2.7  87    0    0 227 -320  2
3823500 2818500  1 11  4  -2.0 1022 186  0.8 4  2.8  86    0    0 241 -320  2
3823500 2818500  1 11  5  -1.5 1022 174  0.7 7  2.8  86    0    0 269 -321  2
3823500 2818500  1 11  6  -2.3 1021 192  0.8 7  2.8  86    0    0 282 -322  2
