     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3823500 2818500  1  2 23   7.7 1017 234  1.8 8  5.9  92    0    0 329 -330  3
3823500 2818500  1  2 24   7.6 1017 234  2.2 7  5.9  90    0    0 324 -331  3
3823500 2818500  1  3  1   7.6 1017 233  2.1 7  5.8  89    0    0 318 -330  3
3823500 2818500  1  3  2   7.5 1016 237  2.5 8  5.6  87    0    0 323 -328  3
3823500 2818500  1  3  3   7.4 1016 229  2.2 7  5.6  87    0    0 323 -326  3
3823500 2818500  1  3  4   7.3 1016 227  3.0 8  5.5  86    0    0 322 -322  3
3823500 2818500  1  3  5   7.4 1015 228  3.5 7  5.4  85    0    0 322 -320  3
3823500 2818500  1  3  6   7.5 1015 224  3.4 7  5.3  83    0    0 316 -320  3
3823500 2818500  1  3  7   7.4 1015 219  3.9 8  5.3  82    0    0 320 -320  3
3823500 2818500  1  3  8   7.3 1014 224  4.3 7  5.3  83    0    0 318 -320  3
3823500 2818500  1  3  9   6.9 1014 227  4.2 7  5.3  85    0    0 312 -320  3
3823500 2818500  1  3 10   7.5 1014 230  4.3 8  5.4  85    0   19 317 -322  3
3823500 2818500  1  3 11   7.8 1013 228  4.4 6  5.5  84    1   52 314 -324  3
3823500 2818500  1  3 12   8.2 1013 235  5.1 7  5.6  84    0   48 309 -328  3
3823500 2818500  1  3 13   8.4 1013 228  5.2 7  5.6  83    0   48 314 -333  3
3823500 2818500  1  3 14   8.5 1013 232  5.1 7  5.7  82    0   23 312 -337  3
3823500 2818500  1  3 15   8.5 1012 231  4.9 8  5.7  82    0   20 317 -339  3
3823500 2818500  1  3 16   8.2 1011 231  5.5 8  5.7  84    0    6 319 -339  3
3823500 2818500  1  3 17   7.9 1011 229  5.2 8  5.8  86    0    0 319 -338  3
3823500 2818500  1  3 18   7.3 1011 223  4.2 8  5.8  88    0    0 320 -337  3
3823500 2818500  1  3 19   6.9 1011 221  4.9 8  5.7  91    0    0 322 -337  3
3823500 2818500  1  3 20   6.5 1011 216  5.1 8  5.6  92    0    0 322 -338  3
3823500 2818500  1  3 21   6.4 1010 223  5.2 8  5.5  92    0    0 323 -339  3
3823500 2818500  1  3 22   6.1 1010 220  5.9 8  5.5  93    0    0 324 -339  3
3823500 2818500  1  3 23   6.3 1010 220  5.7 8  5.5  93    0    0 325 -339  3
3823500 2818500  1  3 24   6.3 1009 225  5.1 8  5.5  92    0    0 326 -338  3
3823500 2818500  1  4  1   6.1 1009 215  5.4 7  5.5  93    0    0 321 -338  3
3823500 2818500  1  4  2   6.3 1009 226  4.6 8  5.6  94    0    0 322 -337  3
3823500 2818500  1  4  3   6.3 1008 231  3.8 8  5.6  94    0    0 331 -337  3
3823500 2818500  1  4  4   5.7 1008 235  3.5 8  5.6  95    0    0 331 -336  3
3823500 2818500  1  4  5   5.3 1008 240  1.9 8  5.4  95    0    0 330 -336  3
3823500 2818500  1  4  6   5.2 1008 219  1.6 8  5.2  95    0    0 330 -337  3
3823500 2818500  1  4  7   5.1 1009 210  0.9 8  5.2  94    0    0 330 -337  3
3823500 2818500  1  4  8   5.5 1009 198  1.1 8  5.2  93    0    0 332 -338  3
3823500 2818500  1  4  9   5.1 1009 178  1.5 8  5.2  93    0    0 334 -338  3
3823500 2818500  1  4 10   5.3 1008 169  1.5 8  5.3  95    0    9 335 -338  3
3823500 2818500  1  4 11   5.9 1008 193  1.8 8  5.5  96    0   16 338 -339  3
3823500 2818500  1  4 12   6.5 1008 203  2.4 7  5.7  96    0   33 334 -340  3
3823500 2818500  1  4 13   6.8 1007 203  2.3 8  5.8  95    0   33 337 -341  3
3823500 2818500  1  4 14   7.0 1006 201  2.8 8  5.9  95    0   25 345 -342  3
3823500 2818500  1  4 15   7.2 1005 197  4.1 8  6.0  94    0   22 346 -342  3
3823500 2818500  1  4 16   7.2 1004 200  3.5 8  6.0  93    0   12 347 -341  3
3823500 2818500  1  4 17   7.4 1003 208  4.3 8  6.0  93    0    0 348 -341  3
3823500 2818500  1  4 18   7.7 1002 216  5.0 8  6.1  93    0    0 349 -341  3
3823500 2818500  1  4 19   8.4 1002 235  5.1 8  6.2  91    0    0 348 -342  3
3823500 2818500  1  4 20   8.3 1002 255  6.7 7  6.1  89    0    0 341 -344  3
3823500 2818500  1  4 21   7.1 1002 264  8.6 6  5.5  84    0    0 322 -345  3
3823500 2818500  1  4 22   7.1 1003 249  4.3 7  5.1  81    0    0 318 -344  3
3823500 2818500  1  4 23   6.4 1003 242  4.9 8  5.1  83    0    0 331 -342  3
