     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3823500 2818500  1  2 23   4.2 1006 219  2.6 1  4.4  84    0    0 240 -341  1
3823500 2818500  1  2 24   3.9 1006 223  2.5 0  4.3  84    0    0 231 -339  1
3823500 2818500  1  3  1   3.8 1006 210  2.7 1  4.3  85    0    0 228 -337  1
3823500 2818500  1  3  2   3.8 1006 209  3.2 1  4.3  86    0    0 231 -333  1
3823500 2818500  1  3  3   3.9 1006 209  3.5 1  4.4  87    0    0 228 -330  1
3823500 2818500  1  3  4   4.2 1007 203  3.6 3  4.4  86    0    0 236 -328  1
3823500 2818500  1  3  5   4.4 1006 201  4.3 5  4.4  85    0    0 257 -330  1
3823500 2818500  1  3  6   4.6 1006 203  4.9 6  4.4  84    0    0 276 -332  1
3823500 2818500  1  3  7   4.9 1005 196  4.9 5  4.5  83    0    0 282 -333  1
3823500 2818500  1  3  8   5.5 1004 194  5.6 6  4.4  80    0    0 286 -333  1
3823500 2818500  1  3  9   6.1 1002 195  6.3 7  4.4  76    0    0 302 -334  1
3823500 2818500  1  3 10   5.8 1001 200  7.2 8  4.6  78    0    6 315 -336  1
3823500 2818500  1  3 11   6.2  999 194  8.1 7  4.9  84    0   20 319 -338  1
3823500 2818500  1  3 12   7.8  997 207  8.5 8  5.3  84    0   25 325 -341  1
3823500 2818500  1  3 13   9.0  995 211  8.8 8  5.5  79    0   29 337 -343  1
3823500 2818500  1  3 14   9.4  993 212  7.4 7  5.7  77    0   30 337 -346  1
3823500 2818500  1  3 15   9.3  992 204  7.6 8  6.0  80    0   23 341 -348  1
3823500 2818500  1  3 16   9.8  991 200  8.4 8  6.2  82    0    7 350 -350  1
3823500 2818500  1  3 17   9.8  989 205  7.2 8  6.5  84    0    0 352 -352  1
3823500 2818500  1  3 18   9.4  988 233  6.0 8  6.7  88    0    0 352 -355  1
3823500 2818500  1  3 19   8.3  989 253  6.8 7  6.2  86    0    0 342 -356  1
3823500 2818500  1  3 20   7.9  990 244  5.6 5  5.6  81    0    0 320 -355  1
3823500 2818500  1  3 21   7.5  992 259  7.5 4  5.2  78    0    0 296 -353  1
3823500 2818500  1  3 22   7.0  993 250  7.4 5  4.7  73    0    0 294 -348  1
3823500 2818500  1  3 23   6.5  994 248  5.1 2  4.3  70    0    0 276 -343  1
3823500 2818500  1  3 24   6.1  995 243  5.2 1  4.2  70    0    0 248 -337  1
3823500 2818500  1  4  1   6.0  996 242  4.7 1  4.1  70    0    0 242 -332  1
3823500 2818500  1  4  2   5.8  996 242  4.3 1  4.1  70    0    0 241 -331  1
3823500 2818500  1  4  3   5.7  996 235  4.4 0  4.1  71    0    0 234 -330  1
3823500 2818500  1  4  4   5.5  996 232  4.2 1  4.2  72    0    0 233 -330  1
3823500 2818500  1  4  5   5.2  996 232  4.0 3  4.2  75    0    0 251 -330  1
3823500 2818500  1  4  6   5.0  996 230  4.3 5  4.3  77    0    0 271 -332  1
3823500 2818500  1  4  7   4.5  996 243  4.8 6  4.5  84    0    0 285 -332  1
3823500 2818500  1  4  8   4.4  997 250  3.8 7  4.8  90    0    0 294 -332  1
3823500 2818500  1  4  9   4.7  999 259  4.2 7  4.7  89    0    4 299 -332  1
3823500 2818500  1  4 10   4.9 1000 256  4.1 6  4.7  86    6   39 295 -332  1
3823500 2818500  1  4 11   5.6 1002 253  4.9 3  4.7  83   43   86 276 -333  1
3823500 2818500  1  4 12   6.0 1003 256  5.5 3  4.7  81   53  113 260 -335  1
3823500 2818500  1  4 13   6.2 1004 259  4.5 3  4.7  80   56  122 260 -336  1
3823500 2818500  1  4 14   6.4 1004 250  4.8 5  4.7  78   30  105 269 -338  1
3823500 2818500  1  4 15   6.7 1004 249  5.3 7  4.6  75    4   61 286 -339  1
3823500 2818500  1  4 16   6.5 1004 244  4.6 7  4.5  74    0   19 293 -339  1
3823500 2818500  1  4 17   6.3 1004 241  4.7 7  4.5  74    0    0 291 -337  1
3823500 2818500  1  4 18   6.4 1004 237  4.7 7  4.5  76    0    0 293 -335  1
3823500 2818500  1  4 19   6.3 1003 231  5.0 7  4.6  77    0    0 299 -334  1
3823500 2818500  1  4 20   6.2 1002 228  5.8 7  4.6  77    0    0 302 -335  1
3823500 2818500  1  4 21   6.1 1000 230  5.6 8  4.7  78    0    0 312 -337  1
3823500 2818500  1  4 22   6.1  998 223  6.4 8  4.8  82    0    0 323 -337  1
3823500 2818500  1  4 23   6.0  996 223  6.8 8  5.1  87    0    0 327 -337  1
3823500 2818500  1  4 24   6.5  993 228  7.5 8  5.4  89    0    0 333 -338  1
3823500 2818500  1  5  1   6.9  990 237  8.1 8  5.5  88    0    0 338 -339  1
3823500 2818500  1  5  2   6.9  988 236  7.8 8  5.6  89    0    0 342 -340  1
3823500 2818500  1  5  3   7.3  986 237  7.4 8  5.7  89    0    0 344 -341  1
3823500 2818500  1  5  4   7.6  984 242  8.2 8  5.9  89    0    0 346 -343  1
3823500 2818500  1  5  5   7.8  982 244  8.8 8  6.1  90    0    0 346 -344  1
3823500 2818500  1  5  6   5.9  980 246  8.3 8  5.7  90    0    0 343 -346  1
3823500 2818500  1  5  7   5.1  979 267  5.3 8  5.1  88    0    0 337 -347  1
3823500 2818500  1  5  8   6.1  978 267  4.6 7  4.9  83    0    0 330 -347  1
3823500 2818500  1  5  9   6.3  978 261  5.0 6  4.9  80    0    6 318 -346  1
3823500 2818500  1  5 10   7.2  977 257  4.7 6  5.0  79    0   28 311 -345  1
3823500 2818500  1  5 11   6.8  977 267  5.3 6  5.1  78   14   59 309 -345  1
3823500 2818500  1  5 12   7.4  976 276  8.6 8  5.0  76    0   26 321 -346  1
3823500 2818500  1  5 13   7.1  976 282  7.6 5  4.8  74   18   86 316 -347  1
3823500 2818500  1  5 14   7.2  976 285  7.5 6  4.7  72    9   74 304 -347  1
3823500 2818500  1  5 15   6.9  977 281  6.8 8  4.7  72    0   31 319 -346  1
3823500 2818500  1  5 16   5.1  978 290  5.7 7  4.7  79   13   23 322 -344  1
3823500 2818500  1  5 17   5.3  980 280  4.9 6  4.6  81    0    0 307 -341  1
3823500 2818500  1  5 18   5.4  982 287  4.2 5  4.4  77    0    0 295 -340  1
3823500 2818500  1  5 19   5.4  983 299  3.6 5  4.4  76    0    0 286 -339  1
3823500 2818500  1  5 20   5.2  985 293  4.6 5  4.3  75    0    0 286 -336  1
3823500 2818500  1  5 21   4.9  987 291  4.0 5  4.0  72    0    0 284 -334  1
3823500 2818500  1  5 22   4.6  988 292  4.9 5  3.8  70    0    0 281 -333  1
3823500 2818500  1  5 23   4.1  989 284  4.8 4  3.8  72    0    0 272 -333  1
3823500 2818500  1  5 24   4.2  990 293  4.9 4  3.9  75    0    0 264 -332  1
3823500 2818500  1  6  1   4.3  991 284  5.7 6  4.1  79    0    0 273 -330  1
3823500 2818500  1  6  2   4.8  992 284  5.8 7  4.4  82    0    0 288 -327  1
3823500 2818500  1  6  3   5.3  993 291  5.1 7  4.5  81    0    0 296 -325  1
3823500 2818500  1  6  4   5.4  994 286  5.1 7  4.6  80    0    0 300 -324  1
3823500 2818500  1  6  5   5.6  995 293  5.8 7  4.7  82    0    0 306 -323  1
3823500 2818500  1  6  6   6.0  997 305  5.8 8  4.9  84    0    0 317 -325  1
3823500 2818500  1  6  7   5.8  998 299  4.9 7  4.9  83    0    0 319 -328  1
3823500 2818500  1  6  8   5.6  999 310  4.4 7  4.8  83    0    0 311 -329  1
3823500 2818500  1  6  9   5.5 1001 314  4.8 7  4.8  83    0    5 309 -329  1
3823500 2818500  1  6 10   5.1 1003 298  3.9 5  4.8  85    2   29 297 -328  1
3823500 2818500  1  6 11   5.8 1004 301  3.7 4  4.9  86   34   68 282 -328  1
3823500 2818500  1  6 12   6.6 1006 306  3.4 5  5.0  84   14   87 285 -329  1
3823500 2818500  1  6 13   7.1 1007 306  3.7 5  5.0  81   33   98 292 -332  1
3823500 2818500  1  6 14   7.0 1007 312  4.1 4  4.9  79  111   74 284 -335  1
3823500 2818500  1  6 15   7.1 1008 315  3.2 3  4.8  77   86   54 268 -336  1
3823500 2818500  1  6 16   7.2 1009 302  3.1 5  4.8  76   13   29 269 -334  1
3823500 2818500  1  6 17   6.2 1010 288  2.1 5  4.8  79    0    0 270 -331  1
3823500 2818500  1  6 18   5.9 1010 275  2.7 5  4.9  83    0    0 267 -328  1
3823500 2818500  1  6 19   5.6 1011 271  2.5 7  4.9  86    0    0 273 -327  1
3823500 2818500  1  6 20   5.6 1011 262  2.6 6  4.9  87    0    0 276 -328  1
3823500 2818500  1  6 21   5.7 1012 250  2.4 7  5.0  88    0    0 276 -328  1
3823500 2818500  1  6 22   5.6 1012 245  2.9 7  4.9  87    0    0 284 -328  1
3823500 2818500  1  6 23   5.4 1012 240  3.1 7  4.8  85    0    0 287 -327  1
3823500 2818500  1  6 24   5.0 1011 240  4.2 8  4.6  83    0    0 298 -325  1
3823500 2818500  1  7  1   4.4 1010 232  4.5 7  4.4  82    0    0 304 -326  1
3823500 2818500  1  7  2   4.5 1009 226  4.4 7  4.3  83    0    0 306 -329  1
3823500 2818500  1  7  3   4.7 1008 219  3.6 8  4.4  83    0    0 317 -330  1
3823500 2818500  1  7  4   4.5 1007 222  4.2 8  4.6  86    0    0 327 -332  1
3823500 2818500  1  7  5   4.4 1006 226  4.3 8  4.8  92    0    0 331 -335  1
3823500 2818500  1  7  6   5.0 1005 228  4.3 8  5.0  94    0    0 334 -338  1
3823500 2818500  1  7  7   5.7 1003 229  4.4 8  5.3  95    0    0 338 -341  1
3823500 2818500  1  7  8   6.4 1002 240  4.1 8  5.6  95    0    0 341 -344  1
3823500 2818500  1  7  9   7.1 1002 248  3.8 8  5.9  95    0    4 344 -347  1
3823500 2818500  1  7 10   7.8 1002 271  4.0 8  5.9  91    9   32 347 -349  1
3823500 2818500  1  7 11   8.0 1002 276  4.6 6  5.7  85   11   65 334 -350  1
3823500 2818500  1  7 12   7.6 1002 282  5.5 8  5.5  82    0   49 332 -350  1
