stunde_des_jahres,waermeverlust_kw
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,51.724
7,52.25999999999999
8,52.528
9,50.38399999999999
10,50.11599999999999
11,47.70399999999999
12,46.89999999999999
13,45.559999999999995
14,46.096
15,47.971999999999994
16,49.044
17,49.58
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,48.507999999999996
31,48.775999999999996
32,48.775999999999996
33,49.044
34,49.044
35,47.971999999999994
36,47.43599999999999
37,45.023999999999994
38,45.023999999999994
39,45.559999999999995
40,46.096
41,47.43599999999999
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,56.01199999999999
55,57.35199999999999
56,58.69199999999999
57,58.959999999999994
58,56.815999999999995
59,56.01199999999999
60,54.67199999999999
61,53.599999999999994
62,51.724
63,51.99199999999999
64,53.331999999999994
65,55.47599999999999
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,67.0
79,69.14399999999999
80,69.41199999999999
81,68.60799999999999
82,63.248
83,58.42399999999999
84,53.331999999999994
85,50.11599999999999
86,49.31199999999999
87,48.775999999999996
88,50.919999999999995
89,54.67199999999999
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,66.73199999999999
103,66.73199999999999
104,67.53599999999999
105,69.67999999999999
106,62.443999999999996
107,57.35199999999999
108,52.25999999999999
109,47.971999999999994
110,45.559999999999995
111,45.291999999999994
112,47.168
113,52.79599999999999
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,50.919999999999995
127,50.38399999999999
128,49.31199999999999
129,49.31199999999999
130,49.044
131,48.239999999999995
132,47.971999999999994
133,47.43599999999999
134,46.63199999999999
135,46.364
136,46.096
137,45.827999999999996
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,42.879999999999995
151,43.147999999999996
152,43.95199999999999
153,43.95199999999999
154,43.416
155,41.80799999999999
156,41.004
157,40.199999999999996
158,39.931999999999995
159,41.004
160,41.272
161,42.343999999999994
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,43.416
175,43.684
176,43.416
177,43.95199999999999
178,43.684
179,42.879999999999995
180,42.611999999999995
181,42.07599999999999
182,41.80799999999999
183,41.80799999999999
184,42.07599999999999
185,43.95199999999999
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
