stunde_des_jahres,ventilatorleistung_kw
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,3.6363636363636362
7,3.6363636363636362
8,3.6363636363636362
9,3.6363636363636362
10,3.6363636363636362
11,3.6363636363636362
12,3.6363636363636362
13,3.6363636363636362
14,3.6363636363636362
15,3.6363636363636362
16,3.6363636363636362
17,3.6363636363636362
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,3.6363636363636362
31,3.6363636363636362
32,3.6363636363636362
33,3.6363636363636362
34,3.6363636363636362
35,3.6363636363636362
36,3.6363636363636362
37,3.6363636363636362
38,3.6363636363636362
39,3.6363636363636362
40,3.6363636363636362
41,3.6363636363636362
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,3.6363636363636362
55,3.6363636363636362
56,3.6363636363636362
57,3.6363636363636362
58,3.6363636363636362
59,3.6363636363636362
60,3.6363636363636362
61,3.6363636363636362
62,3.6363636363636362
63,3.6363636363636362
64,3.6363636363636362
65,3.6363636363636362
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,3.6363636363636362
79,3.6363636363636362
80,3.6363636363636362
81,3.6363636363636362
82,3.6363636363636362
83,3.6363636363636362
84,3.6363636363636362
85,3.6363636363636362
86,3.6363636363636362
87,3.6363636363636362
88,3.6363636363636362
89,3.6363636363636362
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,3.6363636363636362
103,3.6363636363636362
104,3.6363636363636362
105,3.6363636363636362
106,3.6363636363636362
107,3.6363636363636362
108,3.6363636363636362
109,3.6363636363636362
110,3.6363636363636362
111,3.6363636363636362
112,3.6363636363636362
113,3.6363636363636362
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,3.6363636363636362
127,3.6363636363636362
128,3.6363636363636362
129,3.6363636363636362
130,3.6363636363636362
131,3.6363636363636362
132,3.6363636363636362
133,3.6363636363636362
134,3.6363636363636362
135,3.6363636363636362
136,3.6363636363636362
137,3.6363636363636362
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,3.6363636363636362
151,3.6363636363636362
152,3.6363636363636362
153,3.6363636363636362
154,3.6363636363636362
155,3.6363636363636362
156,3.6363636363636362
157,3.6363636363636362
158,3.6363636363636362
159,3.6363636363636362
160,3.6363636363636362
161,3.6363636363636362
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,3.6363636363636362
